Type,Date,City,State,Address,Website_URL,Phone_Number,Details_URL
cc,2015-08-28,Colorado Springs, CO,1200 Cresta Road,http://CO.milesplit.com/teams/CHYM,(719) 630-4115,http://co.milesplit.com/meets/202039-cheyenne-mountain-stampede
cc,2015-09-04,Littleton, CO,2201 E. Dry Creek Rd.,http://CO.milesplit.com/teams/ARAP,847.946.0408,http://co.milesplit.com/meets/197041-arapahoe-warrior-invitational
cc,2015-09-11,Littleton, CO,,http://co.milesplit.com/teams/HERI,,http://co.milesplit.com/meets/199296-liberty-bell-cross-country-invitational
indoor,2014-12-19,Hampton, VA,,http://VA.milesplit.com/teams/TechT,,http://va.milesplit.com/meets/189384-boo-williams-winter-break-invitational
indoor,2014-12-06,Birmingham, AL,,http://AL.milesplit.com/teams/HVER,,http://al.milesplit.com/meets/173623-magic-city-invitational
indoor,2014-12-19,New York, NY,,http://NY.milesplit.com/teams/BRNXV,,http://ny.milesplit.com/meets/186705-jim-mitchell-invitational
cc,2015-09-04,Spartanburg, SC,,http://ny.milesplit.com/teams/BRNXV,,http://co.milesplit.com/meets/195613-scsdb-eye-opener
indoor,2014-12-13,Landover, MD,,,,http://co.milesplit.com/meets/189368-howard-county-winter-festival
indoor,2014-12-13,Birmingham, AL,,http://AL.milesplit.com/teams/HVER,,http://al.milesplit.com/meets/173624-holiday-invitational
indoor,2014-12-20,New York, NY,,http://ny.milesplit.com/teams/BL,718 - 930 - 5259,http://co.milesplit.com/meets/186706-bishop-loughlin-games
indoor,2014-12-12,Newport News, VA,,http://VA.milesplit.com/teams/CNU,,http://va.milesplit.com/meets/185069-cnu-high-school-winter-frolic
cc,2015-09-12,Salem, VA,,http://VA.milesplit.com/teams/CS,,http://va.milesplit.com/meets/193281-knights-crossing-xc-invitational
cc,2015-09-12,Oakville, AL,,http://AL.milesplit.com/teams/LAWR,,http://al.milesplit.com/meets/197357-chickasaw-trails-invitational
indoor,2015-01-23,New York, NY,,http://NY.milesplit.com/teams/Arm,,http://ny.milesplit.com/meets/186729-new-balance-games
cc,2015-09-12,Kutztown, PA,,,,http://pa.milesplit.com/meets/199920-ptxc-7-presented-by-new-balance
cc,2015-09-05,Albuquerque, NM,,http://NM.milesplit.com/venues/1848,,http://nm.milesplit.com/meets/199015-unm-lobo-cross-country-invitational
outdoor,2015-08-01,Norfolk, VA,,http://VA.milesplit.com/venues/369,,http://usa.milesplit.com/meets/194122-aau-junior-olympic-games
outdoor,2015-07-27,Jacksonville, FL,,,,http://co.milesplit.com/meets/195927-usatf-national-jo-outdoor-track-and-field-championship
outdoor,2015-06-25,Eugene, OR,,,,http://co.milesplit.com/meets/200191-usatf-outdoor-track-field-championships
outdoor,2015-06-25,Eugene, OR,,http://IN.milesplit.com/teams/USATF,,http://usa.milesplit.com/meets/200189-usatf-junior-national-outdoor-t-f-championships
outdoor,2015-06-20,Shoreline, WA,,,,http://co.milesplit.com/meets/198424-brooks-pr-invitational
outdoor,2015-06-19,Greensboro, NC,,,,http://co.milesplit.com/meets/190173-new-balance-outdoor-nationals
outdoor,2015-06-13,New York, NY,,,,http://usa.milesplit.com/meets/197879-adidas-grand-prix
outdoor,2015-06-13,Saco, ME,,http://me.milesplit.com/teams/THOA,,http://co.milesplit.com/meets/199083-new-england-championship
outdoor,2015-06-12,Albany, NY,,http://ny.milesplit.com/teams/ALBHS,,http://co.milesplit.com/meets/195600-nysphsaa-ny-state-champs
outdoor,2015-06-10,Eugene, OR,,http://or.milesplit.com/teams/UO,,http://co.milesplit.com/meets/186828-ncaa-division-1-outdoor-track-field-championship
outdoor,2015-06-13,Sacramento, CA,,http://or.milesplit.com/teams/UO,,http://co.milesplit.com/meets/195368-golden-west-invitational
outdoor,2015-06-13,Fort Wayne, IN,,http://IN.milesplit.com/venues/13969,,http://in.milesplit.com/meets/197476-midwest-meet-of-champions
outdoor,2015-06-06,Topsham, ME,,http://me.milesplit.com/teams/MTAHS,,http://co.milesplit.com/meets/199081-maine-class-a-state-championship
outdoor,2015-06-07,Columbus, OH,,http://OH.milesplit.com/teams/OHST,,http://oh.milesplit.com/meets/197475-3rd-annual-ohio-state-hammer-championship
outdoor,2015-06-04,Albuquerque, NM,"73 Eagles Way, Tospham, ME 4086",http://www.mta75.org/,207-729-2951,http://me.milesplit.com/teams/MTAHS
outdoor,2015-06-06,Fitchburg, MA,,,,http://co.milesplit.com/meets/201750-massachusetts-miaa-all-state-outdoor-championship
outdoor,2015-06-05,Columbus, OH,,,,http://oh.milesplit.com/meets/193216-ohsaa-state-track-and-field-championship
outdoor,2015-06-05,Clovis, CA,,http://CA.milesplit.com/teams/BUCHS,,http://ca.milesplit.com/meets/190172-cif-state-track-and-field-championship-prelims-and-finals
outdoor,2015-06-02,West Chester, PA,,http://PA.milesplit.com/teams/1064,,http://pa.milesplit.com/meets/197343-the-10th-annual-john-hay-memorial-pennsylvania-distance-festival
outdoor,2015-05-31,Durfee, MA,,http://ma.milesplit.com/teams/BMCDU,,http://co.milesplit.com/meets/201744-massachusetts-miaa-eastern-division-3-outdoor-championships
outdoor,2015-05-30,San Diego, CA,,http://ca.milesplit.com/teams/MTCRM,,http://co.milesplit.com/meets/190171-cif-san-diego-section-finals
outdoor,2015-06-03,South Plainfield, NJ,,http://NJ.milesplit.com/teams/3217,,http://nj.milesplit.com/meets/200474-njsiaa-state-meet-of-champions
outdoor,2015-05-30,, MA,,,,http://co.milesplit.com/meets/201741-massachusetts-miaa-eastern-division-1-outdoor-championships
outdoor,2015-05-31,Norwell, MA,,,,http://co.milesplit.com/meets/201745-massachusetts-miaa-eastern-division-4-outdoor-championships
outdoor,2015-05-29,Norwalk, CA,,http://ca.milesplit.com/teams/CRTCG,,http://co.milesplit.com/meets/190170-cif-southern-section-masters
outdoor,2015-05-29,Wichita, KS,,,,http://ks.milesplit.com/meets/196457-kansas-state-track-and-field-championships
outdoor,2015-05-29,Jefferson City, MO,,http://MO.milesplit.com/teams/MSHSA,,http://mo.milesplit.com/meets/196158-mshsaa-class-3-5-state-track-field-championships
outdoor,2015-05-28,Elk Grove, CA,,http://ca.milesplit.com/teams/EGHHS,,http://co.milesplit.com/meets/190167-cif-sac-joaquin-masters
outdoor,2015-05-27,Van Nuys, CA,,http://ca.milesplit.com/teams/BMGCC,,http://co.milesplit.com/meets/190166-cif-los-angeles-city-section-finals
outdoor,2015-05-29,Anchorage, AK,,http://AK.milesplit.com/teams/DIMON,,http://ak.milesplit.com/meets/201789-alaska-state-track-field-championships
outdoor,2015-05-23,Clovis, CA,,http://ca.milesplit.com/teams/BUCHS,,http://co.milesplit.com/meets/190158-cif-central-section-masters
outdoor,2015-05-23,Waco, TX,,,,http://tx.milesplit.com/meets/179229-ttfca-meet-of-champions
outdoor,2015-05-23,Kansas City, MO,,http://mo.milesplit.com/teams/WIHS,,http://co.milesplit.com/meets/196209-class-4-sectional-4
