Event_Name,Race_Type,Date,Country,City,State,Location,Website_URL,Phone_Number,Details_URL,Facebook_URL
Rock 'n' Roll Liverpool Marathon and Half,Marathons,June 14th 2015, United Kingdom,Liverpool,,,http://uk.competitor.com/,,http://www.runnerspace.com/eprofile.php?event_id=10558,
Ceske Budejovice Half Marathon,Marathons,June 6th 2015, Czech Republic,Ceske Budejovice,,,http://www.runczech.com/en/events/mattoni-ceske-budejovice-half-marathon-2014/index.shtml,,http://www.runnerspace.com/eprofile.php?event_id=9199,
Flora Women's Mini Marathon 10K,Road Racing,June 1st 2015, Ireland,Dublin,,,http://www.florawomensminimarathon.ie/,,http://www.runnerspace.com/eprofile.php?event_id=7360,http://www.facebook.com/pages/Flora-Womens-Mini-Marathon/379148747737
Bellin Run 10K,Road Racing,June 13th 2015, United States,Green Bay,Wisconsin,,http://www.bellinrun.com/,,http://www.runnerspace.com/eprofile.php?event_id=6873,http://www.facebook.com/BellinRun
Olomouc Half Marathon,Marathons,June 20th 2015, Czech Republic,Olomouc,,,http://www.runczech.com/en/,,http://www.runnerspace.com/eprofile.php?event_id=8759,
Rock 'n' Roll Seattle Marathon and Half,Marathons,June 13th 2015, United States,Seattle, Washington,,http://runrocknroll.competitor.com/seattle,,http://www.runnerspace.com/eprofile.php?event_id=5372,
Greater Clarksburg 10K,Road Racing,June 20th 2015, United States,Clarksburg, Virginia,,http://www.greaterclarksburg10k.org/,,http://www.runnerspace.com/eprofile.php?event_id=7365,
Festival of Miles,Track and Field,June 4th 2015, United States, St Louis,Missouri,,http://www.stlfestivalofmiles.com,,http://www.runnerspace.com/eprofile.php?event_id=6471,
Vidovdan Road Race,Road Racing,June 28th 2015, Bosnia and Herzegovina,Brcko,,,http://www.vidovdanskatrka.org/,,http://www.runnerspace.com/eprofile.php?event_id=8758,
Pikes Peak Marathon and Ascent,Marathons,August 15th-16th 2015, United States,Colorado Springs, Colorado,,http://pikespeakmarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=3851,http://www.facebook.com/pikespeakmarathon
Wharf to Wharf Race,Road Racing,July 26th 2015, United States,Santa Cruz, California,,http://www.wharftowharf.com/,,http://www.runnerspace.com/eprofile.php?event_id=7372,http://www.facebook.com/pages/Wharf-to-Wharf-Race/169269195111
Seattle Marathon and Half,Road Racing,November 29th 2015, United States,Seattle,,,http://www.seattlemarathon.org,,http://www.runnerspace.com/eprofile.php?event_id=205,https://www.facebook.com/SeattleMarathon
Siberian International Marathon,Marathons,September 21st 2014, Russian Federation,Omsk,,,http://www.runsim.ru/en/sim,,http://www.runnerspace.com/eprofile.php?event_id=9703,
Great Ireland Run,Road Racing,April 11th 2015, Ireland,Dublin,,,http://www.greatirelandrun.org,,http://www.runnerspace.com/eprofile.php?event_id=5358,
First Night Saratoga 5k,Road Racing,December 31st 2015, United States,Saratoga, New York,,http://www.saratoga-arts.org/firstnight/5krun.php,,http://www.runnerspace.com/eprofile.php?event_id=5453,
Rock 'n' Roll San Diego Marathon and Half,Marathons,May 31st 2015, United States,San Diego, California,,http://runrocknroll.competitor.com/san-diego,,http://www.runnerspace.com/eprofile.php?event_id=239,
Venice Marathon,Marathons,October 25th 2015, Italy,Venice,,,http://www.venicemarathon.it,,http://www.runnerspace.com/eprofile.php?event_id=5324,https://www.facebook.com/ASDVenicemarathon
San Silvestre Vallecana 10K,Road Racing,December 31st 2015, Spain,Madrid,,,http://www.sansilvestrevallecana.com/,,http://www.runnerspace.com/eprofile.php?event_id=7392,
Honolulu Marathon,Marathons,December 13th 2015, United States,Honolulu, Hawaii,,http://www.honolulumarathon.org/,,http://www.runnerspace.com/eprofile.php?event_id=208,https://www.facebook.com/pages/Honolulu-Marathon/229185790927
Dallas Marathon and Half,Marathons,December 13th 2015, United States,Dallas, Texas,,http://www.runtherock.com/,,http://www.runnerspace.com/eprofile.php?event_id=7390,https://www.facebook.com/DallasMarathon
Rock 'n' Roll San Antonio Marathon and Half,Marathons,December 6th 2015, United States,San Antonio, Texas,,http://runrocknroll.competitor.com/san-antonio,,http://www.runnerspace.com/eprofile.php?event_id=97,
Singapore Marathon,Marathons,December 6th 2015, Singapore,Singapore,,,http://www.marathonsingapore.com/,,http://www.runnerspace.com/eprofile.php?event_id=5334,
Rock 'n' Roll Vancouver Half Marathon,Road Racing,October 25th 2015, Canada,Vancouver, British Columbia,,http://runrocknroll.competitor.com/vancouver,,http://www.runnerspace.com/eprofile.php?event_id=10559,https://www.facebook.com/RnRVancouver
St Jude Memphis Marathon and Half,Marathons,December 5th 2015, United States,Memphis, Tennessee,,http://www.stjudemarathon.org,,http://www.runnerspace.com/eprofile.php?event_id=7389,
California International Marathon (CIM),Marathons,December 7th 2014, United States,Sacramento, California,,http://www.runcim.org/,,http://www.runnerspace.com/eprofile.php?event_id=471,https://www.facebook.com/pages/California-International-Marathon/103783039660173
Rock 'n' Roll Los Angeles Half Marathon,Marathons,October 25th 2015, United States,Los Angeles, California,,http://runrocknroll.competitor.com/los-angeles,,http://www.runnerspace.com/eprofile.php?event_id=5375,http://www.facebook.com/RnRLA
Fukuoka Marathon,Marathons,December 7th 2015, Japan,Fukuoka,,,http://www.fukuoka-marathon.com/en/,,http://www.runnerspace.com/eprofile.php?event_id=7385,
Trinidad Alfonso Valencia Half Marathon,Marathons,October 18th 2015, Spain,Valencia,,,http://www.valenciaciudaddelrunning.com/en/valencia-half-marathon/,,http://www.runnerspace.com/eprofile.php?event_id=9701,https://www.facebook.com/mediomaratonvalencia
Frankfurt Marathon,Marathons,October 25th 2015, Germany,Frankfurt,,,http://www.bmw-frankfurt-marathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=789,https://www.facebook.com/ffmmarathon
Nike Women's Marathon and Half,Marathons,October 19th 2015, United States,San Francisco, California,,http://www.nike.com/events/register/werunsf/,,http://www.runnerspace.com/eprofile.php?event_id=192,https://www.facebook.com/RunNikeWomenSeries
USATF Masters 5 km Championships,Road Racing,October 18th 2015, United States,Syracuse, New York,,http://www.usatf.org/Events---Calendar/2014/USA-Masters-5-km-Championships.aspx,,http://www.runnerspace.com/eprofile.php?event_id=7393,
Bupa Great South Run,Road Racing,October 25th 2015, United Kingdom,Portsmouth,,,http://www.greatrun.org/Events/event.aspx?id=12,,http://www.runnerspace.com/eprofile.php?event_id=9695,http://www.facebook.com/greatsouthrun
Rock 'n' Roll St Louis Marathon and Half,Marathons,October 18th 2015, United States,St. Louis, Missouri,,http://runrocknroll.competitor.com/st-louis,,http://www.runnerspace.com/eprofile.php?event_id=5374,http://www.facebook.com/RnRStLouis
Marseille Cassis,Road Racing,October 25th 2015, France,Marseille,,,http://www.marseille-cassis.com/en/,,http://www.runnerspace.com/eprofile.php?event_id=9702,https://www.facebook.com/MarseilleCassis
Marine Corps Marathon,Marathons,October 25th 2015, United States,Washington, District Of Columbia,,http://www.marinemarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=194,https://www.facebook.com/MarineCorpsMarathon
Rock 'n' Roll Lisbon Marathon and Half,Marathons,October 18th 2015, Portugal,Lisbon,,,http://pt.competitor.com/portugal,,http://www.runnerspace.com/eprofile.php?event_id=7339,http://www.facebook.com/RnRPortugal
Beijing Marathon,Marathons,October 18th 2015, China,Beijing,,,http://www.beijing-marathon.com/en/,,http://www.runnerspace.com/eprofile.php?event_id=9694,
Bupa Great Birmingham Run,Road Racing,October 18th 2015, United Kingdom,BIrmingham,,,http://www.greatrun.org/Events/event.aspx?id=14,,http://www.runnerspace.com/eprofile.php?event_id=9700,http://www.facebook.com/greatbirminghamrun
Komen Race for the Cure - Dallas,Road Racing,October 17th 2015, United States,Dallas, Texas,,http://www.komen-dallas.org/,,http://www.runnerspace.com/eprofile.php?event_id=403,http://www.facebook.com/KomenDallas
Des Moines Marathon,Marathons,October 18th 2015, United States,Des Moines, Iowa,,http://www.desmoinesmarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=7380,https://www.facebook.com/desmoinesmarathon
Columbus Marathon and Half,Marathons,October 18th 2015, United States, Columbus,Broad Street,,http://www.columbusmarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=6894,http://www.facebook.com/ColumbusMarathon
Rock 'n' Roll Denver Half Marathon,Road Racing,October 18th 2015, United States,Denver, Colorado,,http://runrocknroll.competitor.com/denver,,http://www.runnerspace.com/eprofile.php?event_id=4811,http://www.facebook.com/RnRDenver
Amsterdam Marathon,Marathons,October 18th 2015, Netherlands,Amsterdam,,,http://www.tcsamsterdammarathon.nl/en/,,http://www.runnerspace.com/eprofile.php?event_id=9693,https://www.facebook.com/TCSAmsterdamMarathon
Komen Race for the Cure - Denver,Road Racing,September 27th 2015, United States,Denver, Colorado,,http://www.komendenver.org/,,http://www.runnerspace.com/eprofile.php?event_id=377,
Detroit Free Press Marathon,Marathons,October 17th-18th 2015, United States,Detroit, Michigan,,http://www.freepmarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=189,https://www.facebook.com/detroitmarathon
City of Pittsburgh Great Race,Road Racing,September 27th 2015, United States,Pittsburgh, Pennsylvania,,http://www.rungreatrace.com/,,http://www.runnerspace.com/eprofile.php?event_id=7376,https://www.facebook.com/pages/Richard-S-Caliguiri-City-of-Pittsburgh-Great-Race/135851826439856
Quad Cities Marathon,Marathons,September 27th 2015, United States,Moline, Illinois,,http://www.qcmarathon.org/,,http://www.runnerspace.com/eprofile.php?event_id=356,https://www.facebook.com/pages/The-Quad-Cities-Marathon/130497283640099
Baltimore Running Festival,Road Racing,October 17th 2015, United States,Baltimore, Maryland,,http://www.thebaltimoremarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=393,https://www.facebook.com/BaltimoreRunningFestival
Rock 'n' Roll San Jose Half Marathon,Road Racing,September 27th 2015, United States,San Jose, California,,http://runrocknroll.competitor.com/san-jose,,http://www.runnerspace.com/eprofile.php?event_id=376,http://www.facebook.com/RnRSanJose
USATF Women's 10 km Championship - Official Website,,,,,,,,,http://www.runnerspace.com/eprofile.php?event_id=2522,
Tufts 10k for Women,Road Racing,October 12th 2015, United States,Boston, Massachusetts,,http://www.tufts-healthplan.com/tufts10k/index.php,,http://www.runnerspace.com/eprofile.php?event_id=188,https://www.facebook.com/pages/Tufts-Health-Plan-10K-for-Women/152947251479
Steamtown Marathon,Marathons,October 11th 2015, United States,Scranton, Pennsylvania,,http://www.steamtownmarathon.com,,http://www.runnerspace.com/eprofile.php?event_id=7378,http://www.facebook.com/steamtown.marathon
Boston Half Marathon,Road Racing,October 12th 2015, United States,Boston, Massachusetts,,http://www.baa.org/Races/Half-Marathon.aspx,,http://www.runnerspace.com/eprofile.php?event_id=5004,
Long Beach Marathon and Half,Marathons,October 11th 2015, United States,Long Beach, California,,http://www.runlongbeach.com/,,http://www.runnerspace.com/eprofile.php?event_id=185,https://www.facebook.com/LongBeachMarathon
Kaiser Permanente Atlanta 5K,Road Racing,September 24th 2015, United States,Atlanta, Georgia,,http://www.kpcorporaterunwalk.com/,,http://www.runnerspace.com/eprofile.php?event_id=354,http://www.facebook.com/KPCorporateRunWalk
Berlin Marathon,Marathons,September 27th 2015, Germany,Berlin,,,http://www.bmw-berlin-marathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=411,http://www.facebook.com/berlinmarathon
York White Rose Run 5 Mile,Road Racing,September 26th 2015, United States,York, Pennsylvania,,http://www.yorkwhiteroserun.com/,,http://www.runnerspace.com/eprofile.php?event_id=7394,https://www.facebook.com/YorkWhiteRoseRun
Chicago Half Marathon,Road Racing,September 27th 2015, United States,Chicago, Illinois,,http://www.chicagohalfmarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=179,https://www.facebook.com/ChicagoHalfMarathon
Army Ten Miler,Road Racing,October 11th 2015, United States,Washington, District Of Columbia,,http://www.armytenmiler.com/,,http://www.runnerspace.com/eprofile.php?event_id=392,http://www.facebook.com/ArmyTenMiler
Komen Race for the Cure - Little Rock,Road Racing,October 10th 2015, United States,Little Rock, Arkansas,,http://www.komenarkansas.org/,,http://www.runnerspace.com/eprofile.php?event_id=399,http://www.facebook.com/komenarkansas
Chicago Marathon,Marathons,October 11th 2015, United States,Chicago, Illinois,,http://www.chicagomarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=187,http://www.facebook.com/ChicagoMarathon
USATF 5 km Championships - Official Website,,,,,,,,,http://www.runnerspace.com/eprofile.php?event_id=2519,
Komen Race for the Cure - Phoenix,Road Racing,October 11th 2015, United States,Phoenix, Arizona,,http://www.komenphoenix.org/,,http://www.runnerspace.com/eprofile.php?event_id=400,https://www.facebook.com/KomenCANaz
Carrera de la Mujer,Road Racing,October 5th 2015, Colombia,Bogota,,,http://www.carreradelamujer.com/,,http://www.runnerspace.com/eprofile.php?event_id=9691,https://www.facebook.com/#!/carreradelamujer?fref=ts
Hartford Marathon and Half,Marathons,October 10th 2015, United States,Hartford, Connecticut,,http://www.hartfordmarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=394,https://www.facebook.com/hmfevents
Sydney Marathon,Marathons,September 20th 2015, Australia,Sydney,,,http://www.sydneyrunningfestival.com.au/enter/marathon,,http://www.runnerspace.com/eprofile.php?event_id=9699,
Maui Marathon and Half,Marathons,September 20th 2015, United States,Maui, Hawaii,,http://www.mauimarathonhawaii.com/,,http://www.runnerspace.com/eprofile.php?event_id=316,http://www.facebook.com/mauimarathonhawaii
Akron Marathon and Half,Marathons,September 26th 2015, United States,Akron, Ohio,,http://www.akronmarathon.org,,http://www.runnerspace.com/eprofile.php?event_id=408,http://www.facebook.com/pages/Akron-Marathon/394888617211554
Rock 'n' Roll Montreal Marathon and Half,Marathons,September 20th 2015, Canada,Montreal, Quebec,,http://ca.competitor.com/montreal,,http://www.runnerspace.com/eprofile.php?event_id=314,http://www.facebook.com/RnRMontreal
CVS Downtown 5k,Road Racing,September 20th 2015, United States,Providence, Rhode Island,,http://www.cvsdowntown5k.com/,,http://www.runnerspace.com/eprofile.php?event_id=347,
Great Cow Harbor 10k,Road Racing,September 19th 2015, United States,Northport, New York,,http://www.cowharborrace.com/,,http://www.runnerspace.com/eprofile.php?event_id=328,
Top of Utah Marathon,Marathons,September 19th 2015, United States,Logan, Utah,,http://www.topofutahmarathon.com,,http://www.runnerspace.com/eprofile.php?event_id=6748,
USATF 10 Mile Championships - Official Website,,,,,,,,,http://www.runnerspace.com/eprofile.php?event_id=2520,
Twin Cities Marathon,Marathons,October 4th 2015, United States,Minneapolis, Minnesota,,http://www.mtcmarathon.org/,,http://www.runnerspace.com/eprofile.php?event_id=186,https://www.facebook.com/TwinCitiesInMotion
Komen Race for the Cure - Des Moines,Road Racing,October 4th 2015, United States,Des Moines, Iowa,,http://www.komendesmoines.org/,,http://www.runnerspace.com/eprofile.php?event_id=404,
Briggs and Al's Run and Walk,Road Racing,September 19th 2015, United States,Milwaukee, Wisconsin,,http://www.alsrun.com/,,http://www.runnerspace.com/eprofile.php?event_id=321,http://www.facebook.com/pages/Briggs-Als-Run-Walk-for-Childrens-Hospital/99411235329
Portland Marathon,Marathons,October 4th 2015, United States,Portland, Oregon,,http://www.portlandmarathon.org/,,http://www.runnerspace.com/eprofile.php?event_id=184,https://www.facebook.com/pdxmarathon
Great Scottish Run,Road Racing,October 4th 2015, United Kingdom,Glasgow,,,http://www.greatscottishrun.com/,,http://www.runnerspace.com/eprofile.php?event_id=9692,http://www.facebook.com/GreatScottishRun
New Haven Road Race,Road Racing,September 7th 2015, United States,New Haven, Connecticut,,http://www.newhavenroadrace.org/,,http://www.runnerspace.com/eprofile.php?event_id=290,
USATF 20 km Championships - Official Website,,,,,,,,,http://www.runnerspace.com/eprofile.php?event_id=2518,
